longitude;latitude;housing_median_age;total_rooms;total_bedrooms;ocean_proximity;median_house_value
-11979;3673;520;1120;280;INLAND;475000
-12221;3777;430;10170;3280;NEAR BAY;1000000
-11804;3387;170;23580;3960;<1H OCEAN;2858000
-11828;3406;170;25180;11960;<1H OCEAN;1750000
-11981;3673;500;7720;1940;INLAND;592000
-11779;338;110;105350;16200;<1H OCEAN;2832000
-1178;3381;140;12060;1420;<1H OCEAN;3887000
-12126;3869;170;39170;6380;INLAND;1370000
-11765;3348;60;16380;1880;<1H OCEAN;5000010
-12227;3797;100;152590;22750;NEAR BAY;2724000
-12194;3728;180;43560;13340;<1H OCEAN;2400000
-1219;3744;40;16460;4080;<1H OCEAN;2655000
-11815;3405;310;33620;7990;<1H OCEAN;3058000
-1175;3396;120;79230;14700;INLAND;1392000
-12133;3864;270;22030;4930;INLAND;1195000
-11599;334;150;19450;5360;INLAND;543000
-11709;3268;200;25690;7370;NEAR OCEAN;1049000
-11814;347;120;19840;6140;INLAND;1021000
-1209;382;160;31200;6410;INLAND;932000
-12151;385;250;47190;7450;INLAND;1802000
-11732;3414;320;16910;3530;INLAND;666000
-11734;3413;290;3310;850;INLAND;703000
-12153;3861;50;81490;19130;INLAND;1788000
-11827;3408;380;22650;8010;<1H OCEAN;1575000
-12084;3877;110;10130;1880;INLAND;1846000
-12038;3676;120;9320;2440;INLAND;543000
-1182;3393;410;8570;2010;<1H OCEAN;1457000
-12152;3857;430;23600;4710;INLAND;862000
-12109;3868;150;52180;7110;INLAND;2133000
-11754;3382;60;2020;290;INLAND;2167000
-12133;3798;90;23700;4240;INLAND;1765000
-11929;3653;330;15090;3520;INLAND;503000
-11983;368;240;37560;6810;INLAND;901000
-11812;3409;250;36030;10030;<1H OCEAN;2080000
-11831;3367;420;12970;2460;NEAR OCEAN;4019000
-11824;3411;500;21410;4510;<1H OCEAN;1788000
-12227;3831;440;30300;5890;NEAR BAY;1552000
-11762;3377;430;19110;4390;<1H OCEAN;1864000
-12195;3728;520;7770;1480;<1H OCEAN;2625000
-11788;3387;210;15190;3880;<1H OCEAN;1453000
-11768;3563;180;43340;6410;INLAND;1053000
-12192;373;350;13350;2960;<1H OCEAN;3458000
-11885;3421;290;21950;4140;<1H OCEAN;2067000
-12221;3737;340;14760;2170;NEAR OCEAN;5000010
-12241;376;310;44240;8340;NEAR OCEAN;4120000
-11759;3391;70;102230;14910;INLAND;2034000
-12186;3732;130;25190;5810;<1H OCEAN;1734000
-11802;3365;380;25480;6460;NEAR OCEAN;4083000
-12243;3771;520;15080;2780;NEAR BAY;2665000
-11815;3397;330;19030;4690;<1H OCEAN;1705000
-12226;3788;520;23630;6040;NEAR BAY;3389000
-11702;327;220;27560;5160;NEAR OCEAN;1254000
-11826;3394;410;15100;4100;<1H OCEAN;942000
-11814;3419;490;16780;2770;INLAND;2370000
-12136;3867;50;58190;15070;INLAND;1166000
-1199;3694;110;25130;4080;INLAND;985000
-12185;380;260;33640;5700;INLAND;1334000
-12085;3706;310;26090;6450;INLAND;820000
-11981;3671;250;10260;2210;INLAND;528000
-11821;3408;260;25740;8070;<1H OCEAN;1732000
-12165;3913;110;48330;9440;INLAND;891000
-11974;3444;260;42570;10310;NEAR OCEAN;2945000
-12203;3739;220;32800;9330;<1H OCEAN;2327000
-11769;3348;250;32400;4810;<1H OCEAN;2885000
-12204;3736;260;32980;4600;<1H OCEAN;4030000
-12225;3784;520;35490;7070;NEAR BAY;2611000
-11843;3422;340;15880;3600;<1H OCEAN;1846000
-11827;3402;400;5610;2840;<1H OCEAN;1875000
-11804;3371;120;40140;8680;<1H OCEAN;3969000
-12191;3729;180;35970;6640;<1H OCEAN;3514000
-1240;4022;160;20880;5350;<1H OCEAN;707000
-11782;3368;30;71050;14590;<1H OCEAN;3580000
-12398;4088;410;17190;3720;<1H OCEAN;842000
-12199;3726;170;40340;6110;<1H OCEAN;4425000
-1206;3736;270;25210;4840;INLAND;869000
-11831;3395;430;18230;3580;<1H OCEAN;1310000
-11822;338;330;19840;4770;NEAR OCEAN;1651000
-12205;3793;150;78030;16030;NEAR BAY;1849000
-12164;3668;160;65680;16030;<1H OCEAN;1561000
-11775;3405;350;12930;3390;INLAND;933000
-11725;3321;90;19440;4880;<1H OCEAN;1272000
-11829;3417;520;17320;3050;<1H OCEAN;2926000
-1227;3836;110;58170;8780;<1H OCEAN;2271000
-12149;3858;520;21510;6640;INLAND;903000
-12204;3697;300;26950;4240;NEAR OCEAN;3623000
-12228;379;520;22610;3280;NEAR BAY;3468000
-11885;3417;420;5640;960;<1H OCEAN;3188000
-12202;3753;210;42800;6730;NEAR BAY;2422000
-12147;3861;310;10720;4350;INLAND;658000
-11772;3351;170;36170;5970;<1H OCEAN;3240000
-11731;3435;90;24040;3900;INLAND;1519000
-12138;3869;350;29430;5540;INLAND;844000
-11717;3277;60;38560;8750;NEAR OCEAN;1648000
-11912;3539;130;12640;2020;INLAND;943000
-11788;3384;310;33010;7120;<1H OCEAN;2238000
-1212;3925;50;9060;1440;INLAND;1882000
-12126;3797;410;23980;4480;INLAND;698000
-11722;3426;160;80200;14320;INLAND;1625000
-12247;3751;150;49740;7640;NEAR OCEAN;3643000
-12084;3753;140;36430;7060;INLAND;1418000
-11802;3394;330;23820;4040;<1H OCEAN;1922000
-11768;356;120;16780;2410;INLAND;1028000
-11836;3384;350;15770;2790;<1H OCEAN;3430000
-11731;3407;400;29360;7320;INLAND;709000
-12416;4079;520;12640;2770;NEAR OCEAN;769000
-12242;3827;250;32820;5660;NEAR BAY;3084000
-11792;3363;390;14690;2260;<1H OCEAN;4908000
-12413;408;310;21520;4620;NEAR OCEAN;811000
-12202;3759;180;11650;3330;NEAR BAY;2132000
-11831;3402;230;17030;3970;<1H OCEAN;1271000
-12085;3777;200;6510;1570;INLAND;773000
-12224;3831;380;19380;3010;NEAR BAY;2808000
-1218;3726;260;13940;2380;<1H OCEAN;1950000
-12242;3775;520;21630;6070;NEAR BAY;2750000
-11829;3403;220;33130;12350;<1H OCEAN;1688000
-11793;3372;170;44610;5850;<1H OCEAN;3195000
-12046;3809;160;37580;7150;INLAND;1226000
-11775;3364;90;24990;4920;<1H OCEAN;1823000
-11686;3305;170;90440;16890;<1H OCEAN;1645000
-11728;3426;180;38950;4350;INLAND;1336000
-12099;3922;160;14970;2750;INLAND;1825000
-11789;3361;160;24130;5590;<1H OCEAN;3500000
-11821;3407;310;10770;3000;<1H OCEAN;1602000
-11839;3423;430;11930;2990;<1H OCEAN;1616000
-12189;3723;200;77540;9760;<1H OCEAN;3616000
-11715;3281;340;16290;3180;NEAR OCEAN;1783000
-11818;3386;430;27520;6450;<1H OCEAN;1613000
-11946;3513;460;27450;5430;INLAND;269000
-12184;3733;260;19340;4080;<1H OCEAN;1636000
-11982;3681;250;33050;5510;INLAND;1509000
-12224;4017;510;23780;5840;INLAND;519000
-12131;3798;470;33860;6630;INLAND;1415000
-1173;3412;340;11270;2750;INLAND;648000
-12244;378;520;32570;7350;NEAR BAY;5000010
-11842;3418;310;28870;6460;<1H OCEAN;3355000
-12253;3787;200;18140;2820;NEAR BAY;4000000
-11699;3377;70;103520;20070;INLAND;1131000
-12146;3856;520;18780;3930;INLAND;1228000
-12064;3699;230;23630;4490;INLAND;757000
-12224;3825;330;2130;360;NEAR BAY;1875000
-11723;3379;170;33180;7590;INLAND;893000
-11753;3388;220;28550;6670;INLAND;910000
-11769;3411;160;24270;5220;INLAND;1193000
-12162;3761;260;17860;3060;INLAND;4306000
-11821;3412;410;19040;5140;<1H OCEAN;1758000
-11889;3433;230;3660;620;<1H OCEAN;3750000
-11877;3426;260;30380;4680;<1H OCEAN;1969000
-12122;3911;140;14050;2690;INLAND;1568000
-11779;3521;40;20;20;INLAND;1375000
-11827;3406;330;14160;6860;<1H OCEAN;2083000
-11694;3284;320;16070;2530;<1H OCEAN;1663000
-12004;3696;230;21260;5060;INLAND;518000
-11809;3375;320;62390;9740;NEAR OCEAN;3800000
-11817;339;120;36530;9930;<1H OCEAN;1142000
-11462;3362;260;180;30;INLAND;2750000
-12184;3972;520;14570;3890;INLAND;690000
-12217;3775;480;17510;3900;NEAR BAY;900000
-11837;3416;250;24500;6180;<1H OCEAN;2625000
-11838;3414;400;19650;3540;<1H OCEAN;4838000
-12083;3751;340;30780;4770;INLAND;1500000
-1215;385;290;20490;3300;INLAND;985000
-11731;341;280;28990;7550;INLAND;695000
-12183;372;60;36940;5740;<1H OCEAN;3480000
-12189;3725;210;20800;3520;<1H OCEAN;2645000
-1182;3402;420;4980;1200;<1H OCEAN;1266000
-11713;3417;170;11810;2710;INLAND;1500000
-11976;3675;390;22330;5630;INLAND;508000
-12019;3935;70;26110;3950;INLAND;1741000
-12411;4093;170;16610;3290;NEAR OCEAN;902000
-11905;3536;160;45070;10490;INLAND;1184000
-12244;3772;480;26750;5850;NEAR BAY;2685000
-11848;3403;190;9020;2840;<1H OCEAN;3100000
-11796;3383;340;9820;1480;<1H OCEAN;2208000
-1184;3419;350;21800;5990;<1H OCEAN;1913000
-12138;3841;100;34250;6290;INLAND;1387000
-11844;340;220;58220;17070;<1H OCEAN;2431000
-1183;3399;470;22120;5330;<1H OCEAN;1011000
-12044;3496;300;16850;3150;<1H OCEAN;1125000
-1219;3725;280;27140;5020;<1H OCEAN;2404000
-11835;3407;480;8900;2550;<1H OCEAN;4500000
-11811;3382;370;17560;3450;<1H OCEAN;2182000
-12203;3697;510;9240;2320;NEAR OCEAN;2344000
-11764;3411;160;21290;4200;INLAND;1469000
-11814;3397;360;14070;3850;<1H OCEAN;1500000
-12142;3657;130;26850;6210;<1H OCEAN;1341000
-12415;4078;360;21120;3740;NEAR OCEAN;900000
-12181;3725;200;33980;7710;<1H OCEAN;3500000
-11813;3379;440;21530;3750;NEAR OCEAN;2362000
-1182;3394;430;19340;5110;<1H OCEAN;1597000
-11814;3391;370;9320;1710;<1H OCEAN;1776000
-12066;3529;390;21630;6520;NEAR OCEAN;2333000
-12321;3915;520;13700;2580;<1H OCEAN;1129000
-12191;3642;140;10780;2610;NEAR OCEAN;2100000
-12231;3757;420;31570;6760;NEAR OCEAN;2926000
-11814;3406;390;23900;4440;<1H OCEAN;2457000
-11645;338;90;55340;12060;INLAND;991000
-12176;3767;60;30230;5180;INLAND;3500000
-12249;3768;350;24050;4610;NEAR OCEAN;2380000
-11948;3517;360;1160;200;INLAND;375000
-11827;3411;410;41380;11300;<1H OCEAN;3068000
-12242;378;520;40790;11120;NEAR BAY;5000010
-11823;341;460;24830;5870;<1H OCEAN;1529000
